F1,SI,JI,homogeneity,RI,ARI,MI,NMI,AMI,CS,V,FMI,S,DB,segment,stream,size
1.0,,1.0,0.0,0.26209888711973783,0.0,0.0,0.0,0.0,1.0,0.0,0.5119559425573043,,,1,-,3
1.0,,1.0,0.0,0.260663094148913,0.0,0.0,0.0,0.0,1.0,0.0,0.510551754623283,,,2,-,3
1.0,,1.0,0.0,0.260663094148913,0.0,0.0,0.0,0.0,1.0,0.0,0.510551754623283,,,3,-,3
1.0,0.7270889366257919,1.0,0.23409369288830614,0.42820665290846127,0.13789504428829918,0.37527816797084845,0.37845507000721235,0.37530906044511964,0.9873137026571942,0.37845507000721235,0.5229543301010259,47540.94017437584,0.27463141528951623,4,-,3
1.0,,1.0,0.0,0.23572337548715502,0.0,0.0,0.0,0.0,1.0,0.0,0.48551351730632075,,,1,-,4
1.0,,1.0,0.0,0.23248352881552273,0.0,0.0,0.0,0.0,1.0,0.0,0.4821654579244792,,,2,-,4
1.0,,1.0,0.0,0.22929695635357472,0.0,0.0,0.0,0.0,1.0,0.0,0.47884961768134965,,,3,-,4
1.0,,1.0,0.0,0.22929695635357472,0.0,0.0,0.0,0.0,1.0,0.0,0.47884961768134965,,,4,-,4
1.0,,1.0,0.0,0.2777510449394737,0.0,0.0,0.0,0.0,1.0,0.0,0.5270209150873177,,,1,-,6
1.0,,1.0,0.0,0.2654402078817006,0.0,0.0,0.0,0.0,1.0,0.0,0.5152088973238919,,,2,-,6
1.0,,1.0,0.0,0.24858088811383222,0.0,0.0,0.0,0.0,1.0,0.0,0.49857886849908933,,,3,-,6
1.0,,1.0,0.0,0.24858088811383222,0.0,0.0,0.0,0.0,1.0,0.0,0.49857886849908933,,,4,-,6
1.0,,1.0,0.0,0.28365268996547843,0.0,0.0,0.0,0.0,1.0,0.0,0.532590546259956,,,1,-,8
1.0,,1.0,0.0,0.2671974452634572,0.0,0.0,0.0,0.0,1.0,0.0,0.5169114481837843,,,2,-,8
1.0,0.6927944295449838,1.0,0.014293351851346395,0.2524639154562938,0.007737589030105305,0.023385291798468846,0.027860132895718627,0.02435674451479388,0.5480741564090055,0.027860132895718627,0.49155042237976926,112.39511548924516,0.2589238923967466,3,-,8
1.0,0.6921859174020532,1.0,0.013919122149448978,0.2489898506319418,0.007531173131991509,0.023269641904655226,0.027149433969161606,0.02352733621379283,0.5486216907487509,0.027149433969161606,0.4880325600243339,112.35601680083045,0.25924483133947857,4,-,8
1.0,,1.0,0.0,0.2794877963098729,0.0,0.0,0.0,0.0,1.0,0.0,0.5286660536764896,,,1,-,12
1.0,,1.0,0.0,0.25044890338100056,0.0,0.0,0.0,0.0,1.0,0.0,0.5004487020474732,,,2,-,12
1.0,,1.0,0.0,0.2304802341965739,0.0,0.0,0.0,0.0,1.0,0.0,0.48008357001315294,,,3,-,12
1.0,,1.0,0.0,0.2094445503075092,0.0,0.0,0.0,0.0,1.0,0.0,0.4576511229173476,,,4,-,12
1.0,0.7270211972158752,1.0,0.2286159967072163,0.432929052108168,0.13367387872698488,0.3231191603460705,0.36590075018504864,0.36255272953387746,0.915905244926746,0.3659007501850487,0.5653677251767264,1154.62926868932,0.22379108187586497,1,-,24
1.0,0.7320499630732077,1.0,0.3239355910171,0.4872743179829794,0.18499728166875712,0.543962647582126,0.4772868160899051,0.4701603975802262,0.9063561364424327,0.47728681608990503,0.5516559096850719,5045.967822845145,0.2360426402556887,2,-,24
1.0,0.736306730158786,1.0,0.37621637660329504,0.5261299793191667,0.21668052155389236,0.6803192940690521,0.5351415384166971,0.5266647240589862,0.9265400386652324,0.5351415384166971,0.5517185139731002,7262.583757775443,0.21311052137157907,3,-,24
1.0,0.7366305099638585,1.0,0.41028340212131587,0.5861457383196513,0.2585575264154163,0.8253841404045981,0.5633703877393504,0.5535612116019258,0.8986965000469076,0.5633703877393504,0.5481593757919359,9280.482905534189,0.22237690229315585,4,-,24
