F1,SI,JI,IC_av,cluster count,segment,stream,size
0.9772345460195649,0.6576674562615353,0.9569515373879454,,15,1,-,3
0.8777720730638388,0.5746362557098394,0.8409180954214629,,17,2,-,3
0.8147616512973067,0.5573929323041531,0.7588449569483676,,19,3,-,3
0.7905368964290769,0.5136621392619216,0.7294742298704718,,19,4,-,3
0.9544815457571161,0.6036880251145432,0.9144453149393894,,15,1,-,4
0.9360877460935568,0.5599020478167155,0.8873017783508316,,15,2,-,4
0.8315052755719026,0.5013138931432013,0.7606561374894903,,17,3,-,4
0.8245289113375557,0.4974001207873623,0.7550309263469337,,17,4,-,4
0.945373890168333,0.5733076915752829,0.8983019949631355,,15,1,-,6
0.904397768474497,0.5493348075617719,0.8488346582282162,,16,2,-,6
0.9052591632517568,0.5656776100746281,0.8492088737948335,,16,3,-,6
0.849600868979878,0.4979138888675523,0.7756460555219746,,17,4,-,6
0.9054013035126466,0.49481462761741807,0.8299455373120109,,15,1,-,8
0.8650220142831507,0.48871012978457734,0.7919621680362882,,16,2,-,8
0.8659394301560698,0.47304327805098184,0.7808259869658546,,16,3,-,8
0.8107612073393461,0.4381522566137523,0.7229471958153924,,17,4,-,8
0.8749283419863931,0.4316470294982394,0.7868904495441804,,15,1,-,12
0.830717253040549,0.4138036667995957,0.7382542850946594,,16,2,-,12
0.8345609375927491,0.43686981182553153,0.7432606727050672,,16,3,-,12
0.8223589035057102,0.3923986538341889,0.7224958803000125,,16,4,-,12
0.7354147107863763,0.21069730945521584,0.5988814374383201,,15,1,-,24
0.715995833941385,0.1986596489160319,0.5785008575442034,,16,2,-,24
0.6873260048871824,0.18400704021859787,0.5486829658385624,,16,3,-,24
0.6670227512749229,0.15640582312674894,0.5242174868028014,,17,4,-,24
0.7023442405320994,0.14753443963874674,0.5610995632724266,,15,1,-,30
0.7013747608334009,0.14873948586425081,0.5598335453973672,,15,2,-,30
0.6742902868236819,0.1460137345213549,0.5368067304823475,,15,3,-,30
0.6437244741370698,0.09111265836958166,0.5010082431282569,,16,4,-,30
0.5942252890054965,-0.012812475808110915,0.43610365916851007,,15,1,-,32
0.627482061021993,0.03113489868182772,0.4739862292823706,,15,2,-,32
0.6330753059311468,0.036068006208281475,0.47942065305767273,,15,3,-,32
0.6390025715643627,0.046323449694040945,0.47801269755423204,,16,4,-,32
0.6363156314570322,0.02733671236894242,0.4826351623914918,,13,1,-,48
0.6353387467307949,0.03234900748811529,0.4814520572453145,,13,2,-,48
0.6363156314570322,0.033345999479790826,0.4826351623914918,,13,3,-,48
0.6061221144721924,0.041689259910782005,0.44649068773575745,,11,4,-,48
