F1,SI,JI,IC_av,cluster count,segment,stream,size
0.1308411214953271,,0.07,,1,1,-,12
0.32224075505471705,0.02661482056027021,0.20728922716627635,,2,2,-,12
0.35346682715103767,0.08291728099368313,0.23435961938094718,,2,3,-,12
0.5626297161222223,-0.2636346475578927,0.4586755694121309,,7,4,-,12
0.1308411214953271,,0.07,,1,1,-,24
0.1308411214953271,,0.07,,1,2,-,24
0.4752728117018807,-0.16347120199806583,0.3796218487394958,,2,3,-,24
0.5763172203596401,-0.17734340866969003,0.48018496654860293,,4,4,-,24
0.1308411214953271,,0.07,,1,1,-,30
0.5308453922315308,0.06632979616733185,0.46580547112462,,2,2,-,30
0.34877622377622375,0.11950317013994377,0.22742040285899934,,2,3,-,30
0.6569011292513977,-0.14285591692143434,0.5864525444044895,,4,4,-,30
0.5192985867735147,-0.15720771810884923,0.37602441796560576,,4,1,-,32
0.5161613318715539,-0.1640292131023379,0.3726630734277906,,4,2,-,32
0.5192985867735147,-0.15907597012602115,0.37602441796560576,,4,3,-,32
0.6681627585411677,0.013964300316885605,0.5278106706626312,,10,4,-,32
0.6387666489426392,-0.00195529178940987,0.4899978203752201,,8,1,-,48
0.6311040794808804,0.016046923295832898,0.4783882837279346,,8,2,-,48
0.6310216873548928,-0.030817928872425553,0.4856645545063141,,8,3,-,48
0.5171851332040422,0.06945349292393715,0.3527113367924044,,7,4,-,48
