cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.59642157 0.46578802 1.02528773 0.95181176 1.01259818 0.67361736
 0.31112143 0.64129196]","[ 0.26387314 -0.01002158  0.70126723  0.76235647  0.6614127   0.52333771
  0.15038352  0.20281195]","[0.43014736 0.22788322 0.86327748 0.85708411 0.83700544 0.59847753
 0.23075247 0.42205196]",0,0,"[0.97827527 0.98354349 0.54089725 0.7880556  0.54802605 0.4522824
 0.80050449 0.32808292]","[0.28405312 0.19359671 0.02932634 0.34211185 0.00762947 0.19219823
 0.20616762 0.07513797]","[0.63116419 0.5885701  0.2851118  0.56508372 0.27782776 0.32224032
 0.50333606 0.20161044]",1.0,0.0,False,True,[],[]
"[1.01290713 0.98978494 1.00942731 0.90795123 0.50806383 0.46943009
 0.79281223 0.29741167]","[ 0.30696944  0.16829315 -0.00205388  0.33135829  0.04624223 -0.01192958
  0.17003426  0.06854954]","[0.65993829 0.57903904 0.50368672 0.61965476 0.27715303 0.22875026
 0.48142325 0.18298061]",1,0,,,,,,,,,
