cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[1.00420807 0.55283562 0.47742777 0.78465165 0.92114482 0.92643902
 0.52049272 0.92645508]","[0.52664042 0.22149883 0.01847208 0.06743039 0.4525943  0.61799138
 0.00334475 0.29627076]","[0.76542424 0.38716722 0.24794992 0.42604102 0.68686956 0.7722152
 0.26191873 0.61136292]",7,3,"[0.52527841 0.64582681 0.8512102  0.8680153  0.83233021 0.78284049
 0.6616721  0.8324366 ]","[0.15217477 0.31330167 0.22211289 0.19374234 0.32509856 0.5708714
 0.2353166  0.16012482]","[0.33872659 0.47956424 0.53666155 0.53087882 0.57871439 0.67685595
 0.44849435 0.49628071]",8.0,0.0,False,True,[],[]
"[0.52743366 0.65104103 0.82973535 0.88473319 0.83009222 0.69790734
 0.655197   0.83432912]","[0.12867251 0.39513958 0.20492985 0.4393329  0.3366492  0.56139887
 0.61757656 0.17031552]","[0.32805309 0.52309031 0.5173326  0.66203305 0.58337071 0.62965311
 0.63638678 0.50232232]",8,4,,,,,,,,,
