F1,SI,JI,IC_av,cluster count,segment,stream,size
0.7170323959883986,0.7991405001310787,0.6864498637402632,,4,1,-,3
0.5034845118821055,0.4467784145863602,0.4410715213169523,,9,2,-,3
0.9783298736461884,0.731994821568135,0.9592424857392068,,4,3,-,3
0.6088225274778282,0.5154202517080986,0.5994253154253155,,5,4,-,3
0.9827649718955704,0.8255786623135973,0.9663941774570517,,4,1,-,4
0.778050550912941,0.5235961709740178,0.6680147811523526,,4,2,-,4
0.8450929145876982,0.7478447157761926,0.7616833309903703,,2,3,-,4
0.7645474323158089,0.5344276320676521,0.7471509740259741,,4,4,-,4
0.9810454260052014,0.8405393996968719,0.9634727002445982,,4,1,-,6
0.6360214144495733,0.27055810373630856,0.5345238102114243,,3,2,-,6
0.8429455351004507,0.7425753972300988,0.7579929574380491,,2,3,-,6
0.6088317128445541,0.5142704776519568,0.5977207792207792,,5,4,-,6
0.9766354791044212,0.8140179974525111,0.9549673866552609,,4,1,-,8
0.8645834117127115,0.6291378546512513,0.777058506490528,,3,2,-,8
0.8450929145876982,0.7478447157761926,0.7616833309903703,,2,3,-,8
0.6081396375787822,0.528212641238857,0.5953999772157667,,5,4,-,8
0.9583116541622256,0.7895824140067492,0.9220655570472511,,4,1,-,12
0.6351100043438277,0.27439129653257327,0.5286408452698105,,3,2,-,12
0.8364685154485105,0.727568070323914,0.7469510607270581,,2,3,-,12
0.7607602941067819,0.5369174499052393,0.747150974025974,,4,4,-,12
0.9421144390365157,0.7537880184792743,0.89508928048606,,4,1,-,24
0.8126238006470452,0.6170725313391315,0.7156444950261338,,2,2,-,24
0.8364685154485105,0.727568070323914,0.7469510607270581,,2,3,-,24
0.985711663582812,0.8301435945931621,0.9719522144522145,,3,4,-,24
0.6416846139201058,0.42799110437843957,0.5564621499394937,,5,1,-,30
0.9273044696156075,0.7694739041330454,0.8745379275624572,,3,2,-,30
0.9242235548001333,0.5806997400752558,0.8631441238565056,,3,3,-,30
0.9809368191721134,0.8141409087162621,0.9629343629343629,,3,4,-,30
0.5381376937515379,0.1559919638720059,0.44588412747046435,,6,1,-,32
0.9020537172314632,0.6150660177435341,0.8235595431783814,,3,2,-,32
0.8269202217688056,0.6622526618866839,0.7206508213041314,,2,3,-,32
0.7759402311663802,0.6917812308240999,0.7193353174603175,,4,4,-,32
0.5538516711450965,0.20725644801658577,0.4630670715887777,,6,1,-,48
0.8971589957471533,0.6919898417863986,0.8168192309696766,,3,2,-,48
0.80725056977638,0.3360692841495223,0.6852619526236969,,3,3,-,48
0.7568762509464677,0.6667199202479361,0.7032889301247711,,4,4,-,48
