cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.59642157 0.46578802 1.02528773 0.95181176 1.01259818 0.67361736
 0.31112143 0.64129196]","[ 0.26387314 -0.01002158  0.70126723  0.76235647  0.6614127   0.52333771
  0.15038352  0.20281195]","[0.43014736 0.22788322 0.86327748 0.85708411 0.83700544 0.59847753
 0.23075247 0.42205196]",0,0,"[0.87352064 0.75532999 0.87665515 0.91443083 0.83100143 0.92836738
 0.36575933 0.99944238]","[0.06093594 0.01508051 0.05656887 0.11290012 0.02111149 0.16526616
 0.13976319 0.04587296]","[0.46722829 0.38520525 0.46661201 0.51366548 0.42605646 0.54681677
 0.25276126 0.52265767]",9.0,4.0,False,True,[],[]
"[0.9247898  0.71061395 0.64120875 0.86929958 0.55266851 0.92658872
 0.51728089 0.99522105]","[0.16474416 0.48477327 0.00292539 0.06900571 0.48013545 0.61408513
 0.14923553 0.02563194]","[0.54476698 0.59769361 0.32206707 0.46915265 0.51640198 0.77033693
 0.33325821 0.5104265 ]",1,7,,,,,,,,,
